year,month,cpi
2001,Mar,132.7
2001,Jun,133.8
2001,Sep,134.2
2001,Dec,135.4
2002,Mar,136.6
2002,Jun,137.6
2002,Sep,138.5
2002,Dec,139.5
2003,Mar,141.3
2003,Jun,141.3
2003,Sep,142.1
2003,Dec,142.8
2004,Mar,144.1
2004,Jun,144.8
2004,Sep,145.4
2004,Dec,146.5
2005,Mar,147.5
2005,Jun,148.4
2005,Sep,149.8
2005,Dec,150.6
2006,Mar,151.9
2006,Jun,154.3
2006,Sep,155.7
2006,Dec,155.5
2007,Mar,155.6
2007,Jun,157.5
2007,Sep,158.6
2007,Dec,160.1
2008,Mar,162.2
2008,Jun,164.6
2008,Sep,166.5
2008,Dec,166
2009,Mar,166.2
2009,Jun,167
2009,Sep,168.6
2009,Dec,169.5
2010,Mar,171
2010,Jun,172.1
2010,Sep,173.3
2010,Dec,174
2011,Mar,176.7
2011,Jun,178.3
2011,Sep,179.4
2011,Dec,179.4
2012,Mar,179.5
2012,Jun,180.4
