month,year,price
Jan,2001,85.0
Feb,2001,92.8
Mar,2001,93.3
Apr,2001,93.7
May,2001,98.4
Jun,2001,89.4
Jul,2001,85.2
Aug,2001,84.9
Sep,2001,91.4
Oct,2001,84.9
Nov,2001,80.4
Dec,2001,82.4
Jan,2002,81.1
Feb,2002,82.4
Mar,2002,87.9
Apr,2002,90.7
May,2002,90.4
Jun,2002,87.2
Jul,2002,89.2
Aug,2002,89.8
Sep,2002,92.1
Oct,2002,92.7
Nov,2002,89.8
Dec,2002,90.4
Jan,2003,94.4
Feb,2003,99.0
Mar,2003,101.5
Apr,2003,91.3
May,2003,85.7
Jun,2003,86.2
Jul,2003,89.7
Aug,2003,92.7
Sep,2003,91.5
Oct,2003,88.8
Nov,2003,89.8
Dec,2003,90.6
Jan,2004,93.8
Feb,2004,90.6
Mar,2004,93.2
Apr,2004,93.0
May,2004,97.8
Jun,2004,98.4
Jul,2004,94.6
Aug,2004,101.0
Sep,2004,102.0
Oct,2004,104.5
Nov,2004,103.7
Dec,2004,97.8
Jan,2005,94.6
Feb,2005,98.7
Mar,2005,104.7
Apr,2005,107.9
May,2005,103.2
Jun,2005,104.3
Jul,2005,110.9
Aug,2005,117.1
Sep,2005,130.2
Oct,2005,124.4
Nov,2005,115.6
Dec,2005,112.7
Jan,2006,117.7
Feb,2006,117.9
Mar,2006,120.6
Apr,2006,128.6
May,2006,135.6
Jun,2006,135.5
Jul,2006,135.0
Aug,2006,133.3
Sep,2006,122.4
Oct,2006,116.3
Nov,2006,112.7
Dec,2006,115.7
Jan,2007,115.2
Feb,2007,114.9
Mar,2007,122.5
Apr,2007,124.8
May,2007,130.2
Jun,2007,129.9
Jul,2007,126.7
Aug,2007,122.7
Sep,2007,123.8
Oct,2007,124.3
Nov,2007,130.5
Dec,2007,137.1
Jan,2008,138.6
Feb,2008,136.1
Mar,2008,139.7
Apr,2008,143.1
May,2008,148.9
Jun,2008,157.8
Jul,2008,156.9
Aug,2008,145.9
Sep,2008,147.2
Oct,2008,147.2
Nov,2008,121.8
Dec,2008,101.9
Jan,2009,105.5
Feb,2009,115.3
Mar,2009,113.8
Apr,2009,117.9
May,2009,117.4
Jun,2009,123.0
Jul,2009,120.3
Aug,2009,121.4
Sep,2009,121.1
Oct,2009,117.0
Nov,2009,115.8
Dec,2009,117.1
Jan,2010,120.0
Feb,2010,123.0
Mar,2010,126.2
Apr,2010,128.4
May,2010,129.2
Jun,2010,127.6
Jul,2010,126.2
Aug,2010,124.5
Sep,2010,122.1
Oct,2010,121.4
Nov,2010,120.9
Dec,2010,127.8
Jan,2011,132.1
Feb,2011,134.8
Mar,2011,142.1
Apr,2011,143.9
May,2011,143.4
Jun,2011,138.8
Jul,2011,139.8
Aug,2011,139.8
Sep,2011,143.5
Oct,2011,145.6
Nov,2011,140.5
Dec,2011,139.0
Jan,2012,141.3
Feb,2012,142.8
Mar,2012,148.3
Apr,2012,151.2
May,2012,147.6
Jun,2012,139.3
Jul,2012,133.5
Aug,2012,142.4
Sep,2012,145.0
Oct,2012,145.1
Nov,2012,139.6
Dec,2012,139.6
Jan,2013,140.5
Feb,2013,147.5
Mar,2013,147.4
Apr,2013,138.8
May,2013,138.0
Jun,2013,145.9
Jul,2013,152.2
Aug,2013,150.1
Sep,2013,150.8
Oct,2013,146.2
Nov,2013,144.8
Dec,2013,151.1
Jan,2014,154.5
Feb,2014,153.7
Mar,2014,154.2
Apr,2014,151.8
May,2014,152.6
Jun,2014,152.7
Jul,2014,153.3
Aug,2014,146.1
Sep,2014,144.2
Oct,2014,144.9
Nov,2014,137.7
Dec,2014,126.4
Jan,2015,114.8
Feb,2015,118.7
Mar,2015,129.1
Apr,2015,129.6
May,2015,135.4
Jun,2015,138.1
Jul,2015,137.6
Aug,2015,133.7
Sep,2015,129.1
Oct,2015,127.3
Nov,2015,122.6
Dec,2015,123.4
Jan,2016,118.5
Feb,2016,110.2
Mar,2016,110.2
