month	year	price
jan	2001	85
feb	2001	92.8
mar	2001	93.3
apr	2001	93.7
may	2001	98.4
jun	2001	89.4
jul	2001	85.2
aug	2001	84.9
sep	2001	91.4
oct	2001	84.9
nov	2001	80.4
dec	2001	82.4
jan	2002	81.1
feb	2002	82.4
mar	2002	87.9
apr	2002	90.7
may	2002	90.4
jun	2002	87.2
jul	2002	89.2
aug	2002	89.8
sep	2002	92.1
oct	2002	92.7
nov	2002	89.8
dec	2002	90.4
jan	2003	94.4
feb	2003	99
mar	2003	101.5
apr	2003	91.3
may	2003	85.7
jun	2003	86.2
jul	2003	89.7
aug	2003	92.7
sep	2003	91.5
oct	2003	88.8
nov	2003	89.8
dec	2003	90.6
jan	2004	93.8
feb	2004	90.6
mar	2004	93.2
apr	2004	93
may	2004	97.8
jun	2004	98.4
jul	2004	94.6
aug	2004	101
sep	2004	102
oct	2004	104.5
nov	2004	103.7
dec	2004	97.8
jan	2005	94.6
feb	2005	98.7
mar	2005	104.7
apr	2005	107.9
may	2005	103.2
jun	2005	104.3
jul	2005	110.9
aug	2005	117.1
sep	2005	130.2
oct	2005	124.4
nov	2005	115.6
dec	2005	112.7
jan	2006	117.7
feb	2006	117.9
mar	2006	120.6
apr	2006	128.6
may	2006	135.6
jun	2006	135.5
jul	2006	135
aug	2006	133.3
sep	2006	122.4
oct	2006	116.3
nov	2006	112.7
dec	2006	115.7
jan	2007	115.2
feb	2007	114.9
mar	2007	122.5
apr	2007	124.8
may	2007	130.2
jun	2007	129.9
jul	2007	126.7
aug	2007	122.7
sep	2007	123.8
oct	2007	124.3
nov	2007	130.5
dec	2007	137.1
jan	2008	138.6
feb	2008	136.1
mar	2008	139.7
apr	2008	143.1
may	2008	148.9
jun	2008	157.8
jul	2008	156.9
aug	2008	145.9
sep	2008	147.2
oct	2008	147.2
nov	2008	121.8
dec	2008	101.9
jan	2009	105.5
feb	2009	115.3
mar	2009	113.8
apr	2009	117.9
may	2009	117.4
jun	2009	123
jul	2009	120.3
aug	2009	121.4
sep	2009	121.1
oct	2009	117
nov	2009	115.8
dec	2009	117.1
jan	2010	120
feb	2010	123
mar	2010	126.2
apr	2010	128.4
may	2010	129.2
jun	2010	127.6
jul	2010	126.2
aug	2010	124.5
sep	2010	122.1
oct	2010	121.4
nov	2010	120.9
dec	2010	127.8
jan	2011	132.1
feb	2011	134.8
mar	2011	142.1
apr	2011	143.9
may	2011	143.4
jun	2011	138.8
jul	2011	139.8
aug	2011	139.8
sep	2011	143.5
oct	2011	145.6
nov	2011	140.5
dec	2011	139
jan	2012	141.3
feb	2012	142.8
mar	2012	148.3
apr	2012	151.2
may	2012	147.6
jun	2012	139.3
jul	2012	133.5
aug	2012	142.4
sep	2012	145
oct	2012	145.1
nov	2012	139.6
dec	2012	139.6
jan	2013	140.5
feb	2013	147.5
mar	2013	147.4
apr	2013	138.8
may	2013	138
jun	2013	145.9
jul	2013	152.2
aug	2013	150.1
sep	2013	150.8
oct	2013	146.2
nov	2013	144.8
dec	2013	151.1
jan	2014	154.5
feb	2014	153.7
mar	2014	154.2
apr	2014	151.8
may	2014	152.6
jun	2014	152.7
jul	2014	153.3
aug	2014	146.1
sep	2014	144.2
oct	2014	144.9
nov	2014	137.7
dec	2014	126.4
jan	2015	114.8
feb	2015	118.7
mar	2015	129.1
apr	2015	129.6
may	2015	135.4
jun	2015	138.1
jul	2015	137.6
aug	2015	133.7
sep	2015	129.1
oct	2015	127.3
nov	2015	122.6
dec	2015	123.4
jan	2016	118.5
feb	2016	110.2
mar	2016	111.1
apr	2016	111.1
may	2016	113.6
jun	2016	123.2
jul	2016	120.1
aug	2016	113
sep	2016	111.3
oct	2016	114.5
nov	2016	123.6
dec	2016	127.1
jan	2017	133.6
feb	2017	132.5
mar	2017	129.3
apr	2017	126.1
may	2017	125.9
jun	2017	124.1
jul	2017	118.5
aug	2017	123.3
sep	2017	127.1
oct	2017	129.3
nov	2017	135.6
dec	2017	137.3
jan	2018	137.9
feb	2018	137.4
mar	2018	135.7
apr	2018	138.9
may	2018	147.2
jun	2018	148.5
jul	2018	146.3
aug	2018	143.9
sep	2018	148.5
oct	2018	154.1
